"Reference","Qty","Value","Component","Descripción","Package","Manufacturer","Supplier","Supplier Part #","Supplier Part Type","Exclude from Board","DNP"
"C1,C2,C3,C4,C11,C12,C13,C14,C16,C17,C18,C19,C21,C23,C26,C27,C28","17","100nF","CC0402KRX7R7BB104","100nF 16V X7R ±10% 0402 Multilayer Ceramic Capacitors SMD","0402","YAGEO","JLCPCB","C60474","","",""
"C5,C6,C8","3","10uF","GRM188R61A106ME69D","10uF 10V X5R ±20% 0603 Multilayer Ceramic Capacitors SMD","0603","Murata Electronics","JLCPCB","C90053","","",""
"C7","1","22uF","GRM188R61A226ME15D","22uF 10V X5R ±20% 0603 Multilayer Ceramic Capacitors SMD","0603","Murata Electronics","JLCPCB","C84419","","",""
"C9","1","150uF","GRM31CR60J157ME11L","150uF 6.3V X5R ±20% 1206 Multilayer Ceramic Capacitors SMD","1206","Murata Electronics","JLCPCB","C528968","","",""
"C15,C22","2","4.7uF","GRM155R60J475ME87D","4.7uF 6.3V X5R ±20% 0402 Multilayer Ceramic Capacitors SMD","0402","Murata Electronics","JLCPCB","C76996","","",""
"C20","1","100pF","CC0402JRNPO9BN101","100pF 50V NP0 ±5% 0402 Multilayer Ceramic Capacitors SMD","0402","YAGEO","JLCPCB","C106200","","",""
"C24,C25","2","15pF","CC0402JRNPO9BN150","15pF 50V NP0 ±5% 0402 Multilayer Ceramic Capacitor SMD","0402","YAGEO","JLCPCB","C106997","","",""
"C29","1","1.2pF","","Unpolarized capacitor","","","","","","",""
"CN1","1","Conn_02x10_Odd_Even","","Generic connector, double row, 02x10, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","","","","C193453","","",""
"CN2,CN3","2","Conn_01x02","","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","","","",""
"CN4,CN5","2","Conn_01x04","","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","","","",""
"CN6,CN7","2","Conn_01x03","","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","","","",""
"CN8","1","Conn_01x03","","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","","","",""
"CN9","1","Conn_01x02","","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","","","",""
"D1","1","BAT54KFILM","BAT54KFILM","Schottky diode","SOD-523","STMicroelectronics","JLCPCB","C283259","","",""
"FLT1","1","Low_Pass_Filter_2.4GHz_50R","MLPF-WB55-01E3","2.4GHz~2.5GHz 50Ω 0.9dB Low Pass RF Filter SMD-6P,1.6x1mm","SMD-6P 1.6x1mm","STMicroelectronics","JLCPCB","C2651048","Extended","",""
"H1","1","BAT-HLD-001-TR","BAT-HLD-001-TR","CR2032 Battery Holder","SMD","TE CONNECTIVITY","Farnell","4203657","","",""
"J1","1","Conn_01x03","","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","C152153","","",""
"JP1","1","Jumper_01x02_P2.54mm","2.54短路帽开口","Jumper 01x02 2.54mm","2.54mm","BOOMELE (Boom Precision Elec)","JLCPCB","C5305","Mechanical Assembly","Excluido de la placa",""
"L1","1","10uH","LPS4018-103MRC","10uH 200mΩ 1.3A Magnetic Shielded Inductor ±20% 3.9x3.9mm SMD","SMD 3.9x3.9mm","Coilcraft","JLCPCB","C6127589","","",""
"L2","1","10uH","MLZ1608M100WT000","10uH 1.05Ω 90mA Inductor ±20% 0603 SMD","0603","TDK","JLCPCB","C76798","","",""
"L3","1","600@100MHz","FCM1608KF-601T03","600Ω@100MHz 500mΩ 350mA Ferrite Beads ±25% 0603 SMD","0603","TAI-TECH","JLCPCB","C127281","","",""
"L4","1","10nH","","Inductor","","","","","","",""
"L5","1","10uH","","Inductor","","","","","","",""
"L6","1","3.6nH","","Inductor","","","","","","",""
"LED1","1","Green","APTD2012LCGCK","2.1V 2mA 40mcd 570nm 75mW Yellow Green 0805 LED","0805","Kingbright","JLCPCB","C5366381","","",""
"LED2","1","Blue","APTD2012LQBC/D","2.65V 2mA 50mcd 460nm 80mW Blue 0805 LED","0805","Kingbright","JLCPCB","C5879058","","",""
"Q1","1","AO3401A","AO3401A","","SOT-23","Alpha & Omega Semicon","JLCPCB","C15127","Basic","",""
"R1,R2,R3","3","0.33","RLP25FEER330","330mΩ 2W Current Sense Resistor ±1% ±50ppm/℃ 2512 SMD","2512","TA-I Tech","JLCPCB","C393076","","",""
"R4,R5,R6,R7,R8,R9","6","10","RC0402FR-0710RL","10Ω 50V 62.5mW Thick Film Resistor ±1% ±200ppm/℃ 0402 SMD","0402","YAGEO","JLCPCB","C138066","","",""
"R10,R11,R12,R13,R14,R15","6","10k","RC0402FR-0710KL","10kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 SMD","0402","YAGEO","JLCPCB","C60490","","",""
"R16,R17","2","1k","RC0402FR-071KL","1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 SMD","0402","YAGEO","JLCPCB","C106235","","",""
"R18","1","100k","","","","","","","","",""
"SW1","1","SW_Reset","4*4*1.7 Surface Mount","Push button switch, generic, two pins","SMD-4P 5.2x5.2mm","BOOMELE (Boom Precision Elec)","JLCPCB","C10852","","",""
"U1","1","STM32WB55RGVx","STM32WB55RGV6","STMicroelectronics Arm Cortex-M4 MCU, 64 MHz, 1.71-3.6V, 49 GPIO, VFQFPN68","QFN-68-EP (8x8)","STMicroelectronics","JLCPCB","C401505","Extended","",""
"U2","1","AEM10941","AEM10941-QFN","Highly Efficient Dual-Output PMIC, QFN-28","QFN-28","e-peas","Mouser","120-AEM10941-QFN","","",""
"U3","1","INA3221","INA3221AIRGVR","Triple-Channel High-Side Shunt and Bus Voltage Monitor, I2C & SMBUS, QFN-16","QFN-16-EP (4x4)","Texas Instruments","JLCPCB","C181255","Extended","",""
"X1","1","32MHz","NX2016SA-32M-EXS00A-CS06465","10pF 32MHz 60Ω SMD2016-4P Crystal","SMD2016-4P","NDK","JLCPCB","C1986260","Extended","",""
"X2","1","32.768kHz","NX2012SA-32.768KHZ-STD-MUB-2","9pF 32.768kHz 80Ω SMD2012-2P Crystal","SMD2012-2P","NDK","JLCPCB","C891748","Extended","",""
