"#","Reference","Qty","Value","Component","Descripción","Package","Manufacturer","Supplier","Supplier Part #","Supplier Part Type","Exclude from Board","DNP"
"1","U3","1","INA3221","INA3221AIRGVR","Triple-Channel High-Side Shunt and Bus Voltage Monitor, I2C & SMBUS, QFN-16","QFN-16-EP (4x4)","Texas Instruments","JLCPCB","C181255","Extended","",""
"2","U1","1","STM32WB55RGVx","STM32WB55RGV6","STMicroelectronics Arm Cortex-M4 MCU, 64 MHz, 1.71-3.6V, 49 GPIO, VFQFPN68","QFN-68-EP (8x8)","STMicroelectronics","JLCPCB","C401505","Extended","",""
"3","Q1","1","AO3401A","AO3401A","P-Channel MOSFET SOT-23","SOT-23","Alpha & Omega Semicon","JLCPCB","C15127","Basic","",""
"4","H1,H2,H3,H4","4","MountingHole","","Mounting Hole M2","NPTH","-","-","-","-","",""
"5","JP1","1","Jumper_01x02_P2.54mm","2.54短路帽开口","Jumper 01x02 2.54mm","2.54mm","BOOMELE (Boom Precision Elec)","JLCPCB","C5305","Mechanical Assembly","Excluido de la placa",""
"6","U2","1","AEM10941","AEM10941-QFN","Highly Efficient Dual-Output PMIC, QFN-28","QFN-28","e-peas","Mouser","120-AEM10941-QFN","-","",""
"7","CN1","1","Conn_01x07","","Generic connector, single row, 01x07, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","","","",""
"8","BT1","1","CR2032","SMTU2032-C","CR2032 Coin Cell Battery Holders SMD","SMD","Renata","Mouser","614-SMTU2032-C","-","",""
"9","X2","1","32.768kHz","NX2012SA-32.768KHZ-STD-MUB-2","9pF 32.768kHz 80Ω SMD2012-2P Crystal","SMD2012-2P","NDK","JLCPCB","C891748","Extended","",""
"10","X1","1","32MHz","Q22FA12800025","8pF 32MHz 60Ω SMD2016-4P Crystal","SMD2016-4P","Seiko Epson","JLCPCB","C187794","Extended","",""
"11","L3","1","600@100MHz","GZ1608D601TF","600Ω@100MHz 450mΩ 200mA Ferrite Beads ±25% 0603 SMD","0603","Sunlord","JLCPCB","C1002","Basic","",""
"12","R16","1","470","0603WAF4700T5E","470Ω 75V 100mW Thick Film Resistor ±1% ±100ppm/℃ 0603 SMD","0603","UNI-ROYAL","JLCPCB","C23179","Basic","",""
"13","D1","1","D_Schottky","1N5819WS","40V 1A Schottky Diode SOD-323","SOD-323","Guangdong Hottech","JLCPCB","C191023","Basic","",""
"14","C15,C22","2","4.7uF","CL05A475MP5NRNC","4.7uF 10V X5R ±20% 0402 Multilayer Ceramic Capacitors SMD","0402","Samsung","JLCPCB","C23733","Basic","",""
"15","R17","1","300","0603WAF3000T5E","300Ω 75V 100mW Thick Film Resistor ±1% ±100ppm/℃ 0603 SMD","0603","UNI-ROYAL","JLCPCB","C23025","Basic","",""
"16","L6","1","3.6nH","LQG15HS3N6S02D","3.6nH 0.14Ω 750mA Inductor ±5% 0402 SMD","0402"," Murata Electronics","JLCPCB","C19216","Extended","",""
"17","U4","1","MB85RS256B","MB85RS256BPNF-G-JNERE1","256Kbit 2.7-3.6V 5mA FRAM memory SPI SOIC-8","SOIC-8","RAMXEED/FUJITSU","JLCPCB","C8742","Extended","",""
"18","C7","1","22uF","CL10A226MQ8NRNC","22uF 6.3V X5R ±20% 0603 Multilayer Ceramic Capacitors SMD","0603","Samsung","JLCPCB","C59461","Basic","",""
"19","R1,R2,R3","3","0.22","RLP25FEER220","220mΩ 2W Current Sense Resistor ±1% ±50ppm/℃ 2512 SMD","2512","TA-I Tech","JLCPCB","C912987","Extended","",""
"20","LED2","1","White","KT-0805W","2.6-3.2V 25mA 350mcd 80mW White LED Difuse Lens 0805 SMD","0805","Hubei KENTO Elec","JLCPCB","C34499","Basic","",""
"21","LED1","1","Green","KT-0805G","2.6-3.1V 5mA 430mcd 525nm 100mW Emerald Green LED Water Clear 0805 SMD","0805","Hubei KENTO Elec","JLCPCB","C2297","Basic","",""
"22","FLT1","1","Low_Pass_Filter_2.4GHz_50R","MLPF-WB55-01E3","2.4GHz~2.5GHz 50Ω 0.9dB Low Pass RF Filter SMD-6P,1.6x1mm","SMD-6P 1.6x1mm","STMicroelectronics","JLCPCB","C2651048","Extended","",""
"23","C9","1","150uF","GRM31CR60J157ME11L","150uF 6.3V X5R ±20% 1206 Multilayer Ceramic Capacitors SMD","1206","Murata Electronics","JLCPCB","C528968","Extended","",""
"24","C24,C25","2","12pF","0402CG120J500NT","12pF 50V C0G ±5% 0402 Multilayer Ceramic Capacitor SMD","0402","FH","JLCPCB","C1547","Basic","",""
"25","R4,R5,R6,R7,R8,R9","6","10","0402WGF100JTCE","10Ω 50V 62.5mW Thick Film Resistor ±1% ±200ppm/℃ 0402 SMD","0402","UNI-ROYAL","JLCPCB","C25077","Basic","",""
"26","L1","1","10uH","LPS4018-103MRC","10uH 200mΩ 1.3A 40MHz ±20% Magnetic Shielded Inductor 3.9x3.9mm SMD","SMD 3.9x3.9mm","Coilcraft","JLCPCB","C6127589","Extended","",""
"27","L5","1","10uH","SDFL2012S100KTF","10uH 1.15Ω 15mA Inductor ±10% 0805 SMD","0805","Sunlord","JLCPCB","C1046","Basic","",""
"28","L2","1","10uH","MLZ1608M100WT000","10uH 1.05Ω 90mA ±20% Inductor 0603 SMD","0603","TDK","JLCPCB","C76798","Extended","",""
"29","C5,C6,C8","3","10uF","CL10A106KP8NNNC","10uF 10V X5R ±10% 0603 Multilayer Ceramic Capacitors SMD","0603","Samsung","JLCPCB","C19702","Basic","",""
"30","L4","1","10nH","LQP15MN10NG02D","10nH 1.3Ω 100mA Inductor ±2% 0402 SMD","0402"," Murata Electronics","JLCPCB","C162639","Extended","",""
"31","R10,R11,R12,R13,R14,R15,R19","7","10k","0402WGF1002TCE","10kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 SMD","0402","UNI-ROYAL","JLCPCB","C25744","Basic","",""
"32","C20","1","100pF","0402CG101J500NT","100pF 50V C0G ±5% 0402 Multilayer Ceramic Capacitors SMD","0402","FH","JLCPCB","C1546","Basic","",""
"33","C1,C2,C3,C4,C10,C11,C12,C13,C14,C16,C17,C18,C19,C21,C23,C26,C27,C28","18","100nF","CL05B104KO5NNNC","100nF 16V X7R ±10% 0402 Multilayer Ceramic Capacitors SMD","0402","Samsung","JLCPCB","C1525","Basic","",""
"34","R18","1","100k","0402WGF1003TCE","100kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 SMD","0402","UNI-ROYAL","JLCPCB","C25741","Basic","",""
"35","SW1","1","SW_Reset","TS-1187A-B-A-B","100.000 cycles 12V Gold Tactile Switch 5.1x5.1mm SMD-4P","SMD-4P 5.1x5.1mm ","XKB Connection","JLCPCB","C318884","Basic","",""
"36","C30","1","1.2pF","GJM1555C1H1R2WB01D","1.2pF 50V C0G 0402 Multilayer Ceramic Capacitor SMD","0402","Murata Electronics","JLCPCB","C76899","Extended","",""
"37","C29","1","1.2pF","GJM1555C1H1R2WB01D","1.2pF 50V C0G 0402 Multilayer Ceramic Capacitor SMD","0402","Murata Electronics","JLCPCB","C76899","Extended","","DNP"
"38","CN4,CN5","2","Conn_01x04","","01x04 2.54mm Pin Header Horizontal","","","","","-","",""
"39","CN8,J1","2","Conn_01x03","","01x03 2.54mm Pin Header Vertical","","","","","-","",""
"40","CN6,CN7","2","Conn_01x03","","01x03 2.54mm Pin Header Horizontal","","","","","-","",""
"41","CN9","1","Conn_01x02","","01x02 2.54mm Pin Header Vertical","","","","","-","",""
"42","CN2,CN3","2","Conn_01x02","","","","","","","-","",""
